,potencia,preco,modulo,qtd_modulo,inversor,qtd_inversor,estrutura,data
0,"1,635 kWp","R$ 4.427,00",IMO00076 - PAINEL JA JAM72D30-545/MB,3,IIN00084 - GROWATT MIC1500TL-X - 220V - 1MPPT,1,"IEF00143 - PERFIL SUPORTE SMART 2,10M
Quantidade: 4
arrow_forward_ios
IEF00131 - GRAMPO INTERMEDIARIO SMART
Quantidade: 4
arrow_forward_ios
IEF00132 - GRAMPO TERMINAL SMART
Quantidade: 4
arrow_forward_ios
IEF00045 - PARAFUSO PRISIONEIRO M10X200 (FIBROMADEIRA)
Quantidade: 8
arrow_forward_ios
IEF00009 - JUNCAO U DO PERFIL
Quantidade: 2
arrow_forward_ios",2023-08-18
1,"2,18 kWp","R$ 5.288,00",IMO00076 - PAINEL JA JAM72D30-545/MB,4,IIN00085 - GROWATT MIC2000TL-X - 220V - 1MPPT,1,"IEF00143 - PERFIL SUPORTE SMART 2,10M
Quantidade: 5
arrow_forward_ios
IEF00131 - GRAMPO INTERMEDIARIO SMART
Quantidade: 6
arrow_forward_ios
IEF00132 - GRAMPO TERMINAL SMART
Quantidade: 4
arrow_forward_ios
IEF00045 - PARAFUSO PRISIONEIRO M10X200 (FIBROMADEIRA)
Quantidade: 10
arrow_forward_ios
IEF00009 - JUNCAO U DO PERFIL
Quantidade: 4
arrow_forward_ios",2023-08-18
2,"3,27 kWp","R$ 7.054,00",IMO00076 - PAINEL JA JAM72D30-545/MB,6,IIN00078 - GROWATT MIC3000TL-X -220V - 1MPPT,1,"IEF00143 - PERFIL SUPORTE SMART 2,10M
Quantidade: 7
arrow_forward_ios
IEF00131 - GRAMPO INTERMEDIARIO SMART
Quantidade: 10
arrow_forward_ios
IEF00132 - GRAMPO TERMINAL SMART
Quantidade: 4
arrow_forward_ios
IEF00045 - PARAFUSO PRISIONEIRO M10X200 (FIBROMADEIRA)
Quantidade: 12
arrow_forward_ios
IEF00009 - JUNCAO U DO PERFIL
Quantidade: 6
arrow_forward_ios",2023-08-18
3,"3,27 kWp","R$ 7.844,00",IMO00076 - PAINEL JA JAM72D30-545/MB,6,IIN00027 - SUNGROW SG3K-D - 220V - 2MPPT,1,"IEF00143 - PERFIL SUPORTE SMART 2,10M
Quantidade: 8
arrow_forward_ios
IEF00131 - GRAMPO INTERMEDIARIO SMART
Quantidade: 8
arrow_forward_ios
IEF00132 - GRAMPO TERMINAL SMART
Quantidade: 8
arrow_forward_ios
IEF00045 - PARAFUSO PRISIONEIRO M10X200 (FIBROMADEIRA)
Quantidade: 16
arrow_forward_ios
IEF00009 - JUNCAO U DO PERFIL
Quantidade: 4
arrow_forward_ios",2023-08-18
4,"3,27 kWp","R$ 8.291,00",IMO00076 - PAINEL JA JAM72D30-545/MB,6,IIN00126 - ENPHASE IQ7AM-72-2-US - 335W - 220V,6,"IEF00143 - PERFIL SUPORTE SMART 2,10M
Quantidade: 7
arrow_forward_ios
IEF00131 - GRAMPO INTERMEDIARIO SMART
Quantidade: 10
arrow_forward_ios
IEF00132 - GRAMPO TERMINAL SMART
Quantidade: 4
arrow_forward_ios
IEF00045 - PARAFUSO PRISIONEIRO M10X200 (FIBROMADEIRA)
Quantidade: 12
arrow_forward_ios
IEF00009 - JUNCAO U DO PERFIL
Quantidade: 6
arrow_forward_ios
IEF00166 - PARAFUSO MARTELO M8X20
Quantidade: 6
arrow_forward_ios
IEF00167 - PORCA SEXT FLANG M8
Quantidade: 6
arrow_forward_ios",2023-08-18
5,"3,815 kWp","R$ 8.696,00",IMO00076 - PAINEL JA JAM72D30-545/MB,7,IIN00001 - FRONIUS PRIMO 3.0-1 - 220V - 2MPPT,1,"IEF00143 - PERFIL SUPORTE SMART 2,10M
Quantidade: 9
arrow_forward_ios
IEF00131 - GRAMPO INTERMEDIARIO SMART
Quantidade: 10
arrow_forward_ios
IEF00132 - GRAMPO TERMINAL SMART
Quantidade: 8
arrow_forward_ios
IEF00045 - PARAFUSO PRISIONEIRO M10X200 (FIBROMADEIRA)
Quantidade: 18
arrow_forward_ios
IEF00009 - JUNCAO U DO PERFIL
Quantidade: 6
arrow_forward_ios",2023-08-18
6,"4,905 kWp","R$ 10.699,00",IMO00076 - PAINEL JA JAM72D30-545/MB,9,IIN00029 - SUNGROW SG4K-D - 220V - 2MPPT,1,"IEF00143 - PERFIL SUPORTE SMART 2,10M
Quantidade: 11
arrow_forward_ios
IEF00131 - GRAMPO INTERMEDIARIO SMART
Quantidade: 14
arrow_forward_ios
IEF00132 - GRAMPO TERMINAL SMART
Quantidade: 8
arrow_forward_ios
IEF00045 - PARAFUSO PRISIONEIRO M10X200 (FIBROMADEIRA)
Quantidade: 20
arrow_forward_ios
IEF00009 - JUNCAO U DO PERFIL
Quantidade: 8
arrow_forward_ios",2023-08-18
7,"4,905 kWp","R$ 11.831,00",IMO00076 - PAINEL JA JAM72D30-545/MB,9,IIN00126 - ENPHASE IQ7AM-72-2-US - 335W - 220V,9,"IEF00143 - PERFIL SUPORTE SMART 2,10M
Quantidade: 10
arrow_forward_ios
IEF00131 - GRAMPO INTERMEDIARIO SMART
Quantidade: 16
arrow_forward_ios
IEF00132 - GRAMPO TERMINAL SMART
Quantidade: 4
arrow_forward_ios
IEF00045 - PARAFUSO PRISIONEIRO M10X200 (FIBROMADEIRA)
Quantidade: 16
arrow_forward_ios
IEF00009 - JUNCAO U DO PERFIL
Quantidade: 8
arrow_forward_ios
IEF00166 - PARAFUSO MARTELO M8X20
Quantidade: 9
arrow_forward_ios
IEF00167 - PORCA SEXT FLANG M8
Quantidade: 9
arrow_forward_ios",2023-08-18
8,"6,54 kWp","R$ 13.108,00",IMO00076 - PAINEL JA JAM72D30-545/MB,12,IIN00003 - FRONIUS PRIMO 5.0-1 - 220V - 2MPPT,1,"IEF00127 - PERFIL SUPORTE SMART 4,20M
Quantidade: 8
arrow_forward_ios
IEF00131 - GRAMPO INTERMEDIARIO SMART
Quantidade: 20
arrow_forward_ios
IEF00132 - GRAMPO TERMINAL SMART
Quantidade: 8
arrow_forward_ios
IEF00045 - PARAFUSO PRISIONEIRO M10X200 (FIBROMADEIRA)
Quantidade: 24
arrow_forward_ios
IEF00009 - JUNCAO U DO PERFIL
Quantidade: 4
arrow_forward_ios",2023-08-18
9,"7,085 kWp","R$ 13.684,00",IMO00076 - PAINEL JA JAM72D30-545/MB,13,IIN00068 - GROWATT MIN5000TL-X - 220V - 2MPPT,1,"IEF00127 - PERFIL SUPORTE SMART 4,20M
Quantidade: 8
arrow_forward_ios
IEF00131 - GRAMPO INTERMEDIARIO SMART
Quantidade: 22
arrow_forward_ios
IEF00132 - GRAMPO TERMINAL SMART
Quantidade: 8
arrow_forward_ios
IEF00045 - PARAFUSO PRISIONEIRO M10X200 (FIBROMADEIRA)
Quantidade: 26
arrow_forward_ios
IEF00009 - JUNCAO U DO PERFIL
Quantidade: 4
arrow_forward_ios",2023-08-18
