,produto,preco,inversor,modulo,data
0,"Kit 2,02 kWp - Cerâmico","R$ 7.522,12",1 inversor solis 3kw - monofásico 220 v,4 módulos sunova 505w,2023-08-18
1,"Kit 2,20 kWp - Cerâmico","R$ 7.522,12",1 inversor solis 3kw - monofásico 220 v,4 módulos sunova 550w,2023-08-18
2,"Kit 2,52 kWp - Cerâmico","R$ 8.849,37",1 inversor solis 3kw - monofásico 220 v,5 módulos sunova 505w,2023-08-18
3,"Kit 2,75 kWp - Cerâmico","R$ 8.849,37",1 inversor solis 3kw - monofásico 220 v,5 módulos sunova 550w,2023-08-18
4,"Kit 3,03 kWp - Cerâmico","R$ 9.965,15",1 inversor solis 3kw - monofásico 220 v,6 módulos sunova 505w,2023-08-18
5,"Kit 3,30 kWp - Cerâmico","R$ 9.965,15",1 inversor solis 3kw - monofásico 220 v,6 módulos sunova 550w,2023-08-18
6,"Kit 3,53 kWp - Cerâmico","R$ 11.055,73",1 inversor solis 3kw - monofásico 220 v,7 módulos sunova 505w,2023-08-18
7,"Kit 3,85 kWp - Cerâmico","R$ 11.055,73",1 inversor solis 3kw - monofásico 220 v,7 módulos sunova 550w,2023-08-18
8,"Kit 4,40 kWp - Cerâmico","R$ 12.146,30",1 - inversor solis 3kw - monofásico 220 v,8 - módulos sunova 550w,2023-08-18
9,"Kit 4,54 kWp - Cerâmico","R$ 14.097,27",1 inversor solis 5kw - monofásico 220 v,9 módulos sunova 505w,2023-08-18
10,"Kit 4,95 kWp - Cerâmico","R$ 14.097,27",1 inversor solis 5kw - monofásico 220 v,9 módulos sunova 550w,2023-08-18
11,"Kit 5,05 kWp - Cerâmico","R$ 15.187,84",1 inversor solis 5kw - monofásico 220 v,10 módulos sunova 505w,2023-08-18
12,"Kit 5,50 kWp - Cerâmico","R$ 15.187,84",1 inversor solis 5kw - monofásico 220 v,10 módulos sunova 550w,2023-08-18
13,"Kit 5,55 kWp - Cerâmico","R$ 16.303,63",1 inversor solis 5kw - monofásico 220 v,11 módulos sunova 505w,2023-08-18
14,"Kit 6,05 kWp - Cerâmico","R$ 16.303,63",1 inversor solis 5kw - monofásico 220 v,11 módulos sunova 550w,2023-08-18
15,"Kit 6,56 kWp - Cerâmico","R$ 18.610,88",1 inversor solis 5kw - monofásico 220 v,13 módulos sunova 505w,2023-08-18
16,"Kit 6,60 kWp - Cerâmico","R$ 17.394,20",1 inversor solis 5kw - monofásico 220 v,12 módulos sunova 550w,2023-08-18
17,"Kit 7,07 kWp - Cerâmico","R$ 19.852,31",1 inversor solis 5kw - monofásico 220 v,14 módulos sunova 505w,2023-08-18
18,"Kit 7,15 kWp - Cerâmico","R$ 18.761,74",1 inversor solis 5kw - monofásico 220 v,13 módulos sunova 550w,2023-08-18
19,"Kit 7,57 kWp - Cerâmico","R$ 21.682,85",1 inversor solis 6kw - monofásico 220 v,15 módulos sunova 505w,2023-08-18
20,"Kit 2,02 kWp - Fibrocimento","R$ 7.392,32",1 inversor solis 3kw - monofásico 220 v,4 módulos sunova 505w,2023-08-18
21,"Kit 2,20 kWp - Fibrocimento","R$ 7.392,32",1 inversor solis 3kw - monofásico 220 v,4 módulos sunova 550w,2023-08-18
22,"Kit 2,52 kWp - Fibrocimento","R$ 8.662,70",1 inversor solis 3kw - monofásico 220 v,5 módulos sunova 505w,2023-08-18
23,"Kit 2,75 kWp - Fibrocimento","R$ 8.662,70",1 inversor solis 3kw - monofásico 220 v,5 módulos sunova 550w,2023-08-18
24,"Kit 3,03 kWp - Fibrocimento","R$ 9.752,68",1 inversor solis 3kw - monofásico 220 v,6 módulos sunova 505w,2023-08-18
25,"Kit 3,30 kWp - Fibrocimento","R$ 9.752,68",1 inversor solis 3kw - monofásico 220 v,6 módulos sunova 550w,2023-08-18
26,"Kit 3,53 kWp - Fibrocimento","R$ 10.819,69",1 inversor solis 3kw - monofásico 220 v,7 módulos sunova 505w,2023-08-18
27,"Kit 3,85 kWp - Fibrocimento","R$ 10.819,69",1 inversor solis 3kw - monofásico 220 v,7 módulos sunova 550w,2023-08-18
28,"Kit 7,70 kWp - Cerâmico","R$ 20.586,60",1 inversor solis 6kw - monofásico 220 v,14 módulos sunova 550w,2023-08-18
29,"Kit 8,08 kWp - Cerâmico","R$ 22.773,42",1 inversor solis 6kw - monofásico 220 v,16 módulos sunova 505w,2023-08-18
30,"Kit 8,25 kWp - Cerâmico","R$ 21.702,38",1 inversor solis 6kw - monofásico 220 v,15 módulos sunova 550w,2023-08-18
31,"Kit 8,58 kWp - Cerâmico","R$ 24.009,64",1 inversor solis 6kw - monofásico 220 v,17 módulos sunova 505w,2023-08-18
32,"Kit 8,80 kWp - Cerâmico","R$ 22.792,96",1 inversor solis 6kw - monofásico 220 v,16 módulos sunova 550w,2023-08-18
33,"Kit 10,1 kWp - Fibrocimento","R$ 28.015,60",1 inversor solis 8kw - monofásico 220 v,20 módulos sunova 505w,2023-08-18
34,"Kit 10,1 kWp - Metálico","R$ 27.389,75",1 inversor solis 8kw - monofásico 220 v,20 módulos sunova 505w,2023-08-18
35,"Kit 10,45 kWp - Fibrocimento","R$ 26.948,59",1 inversor solis 8kw - monofásico 220 v,19 módulos sunova 550w,2023-08-18
36,"Kit 10,60 kWp - Fibrocimento","R$ 29.175,42",1 inversor solis 8kw - monofásico 220 v,21 módulos sunova 505w,2023-08-18
37,Kit 11 kWp - Fibrocimento,"R$ 28.015,60",1 inversor solis 8kw - monofásico 220 v,20 módulos sunova 550w,2023-08-18
38,"Kit 11,11 kWp - Fibrocimento","R$ 30.242,43",1 inversor solis 8kw - monofásico 220 v,22 módulos sunova 505w,2023-08-18
39,"Kit 11,55 kWp - Fibrocimento","R$ 29.175,42",1 inversor solis 8kw - monofásico 220 v,21 módulos sunova 550w,2023-08-18
40,"Kit 11,61 kWp - Fibrocimento","R$ 31.332,41",1 inversor solis 8kw - monofásico 220 v,23 módulos sunova 505w,2023-08-18
41,"Kit 2,02 kWp - Metálico","R$ 7.267,15",1 inversor solis 3kw - monofásico 220 v,4 módulos sunova 505w,2023-08-18
42,"Kit 2,20 kWp - Metálico","R$ 7.267,15",1 inversor solis 3kw - monofásico 220 v,4 módulos sunova 550w,2023-08-18
43,"Kit 2,52 kWp - Metálico","R$ 8.497,47",1 inversor solis 3kw - monofásico 220 v,5 módulos sunova 505w,2023-08-18
44,"Kit 2,75 kWp - Metálico","R$ 8.497,47",1 inversor solis 3kw - monofásico 220 v,5 módulos sunova 550w,2023-08-18
45,"Kit 3,03 kWp - Metálico","R$ 9.549,23",1 inversor solis 3kw - monofásico 220 v,6 módulos sunova 505w,2023-08-18
46,"Kit 3,30 kWp - Metálico","R$ 9.549,23",1 inversor solis 3kw - monofásico 220 v,6 módulos sunova 550w,2023-08-18
47,"Kit 3,53 kWp - Metálico","R$ 10.592,80",1 inversor solis 3kw - monofásico 220 v,7 módulos sunova 505w,2023-08-18
48,"Kit 3,85 kWp - Metálico","R$ 10.592,80",1 inversor solis 3kw - monofásico 220 v,7 módulos sunova 550w,2023-08-18
49,"Kit 4,04 kWp - Fibrocimento","R$ 11.886,71",1 inversor solis 3kw - monofásico 220 v,8 módulos sunova 505w,2023-08-18
50,"Kit 4,04 kWp - Metálico","R$ 11.636,36",1 inversor solis 3kw - monofásico 220 v,8 módulos sunova 505w,2023-08-18
51,"Kit 4,40 kWp - Fibrocimento","R$ 11.886,71",1 inversor solis 3kw - monofásico 220 v,8 módulos sunova 550w,2023-08-18
52,"Kit 4,40 kWp - Metálico","R$ 11.636,36",1 inversor solis 3kw - monofásico 220 v,8 módulos sunova 550w,2023-08-18
53,"Kit 4,54 kWp - Fibrocimento","R$ 13.780,81",1 inversor solis 5kw - monofásico 220 v,9 módulos sunova 505w,2023-08-18
54,"Kit 4,54 kWp - Metálico","R$ 13.490,40",1 inversor solis 5kw - monofásico 220 v,9 módulos sunova 505w,2023-08-18
55,"Kit 4,95 kWp - Fibrocimento","R$ 13.780,81",1 inversor solis 5kw - monofásico 220 v,9 módulos sunova 550w,2023-08-18
56,"Kit 4,95 kWp - Metálico","R$ 13.490,40",1 inversor solis 5kw - monofásico 220 v,9 módulos sunova 550w,2023-08-18
57,"Kit 5,05 kWp - Fibrocimento","R$ 14.847,82",1 inversor solis 5kw - monofásico 220 v,10 módulos sunova 505w,2023-08-18
58,"Kit 5,05 kWp - Metálico","R$ 14.533,97",1 inversor solis 5kw - monofásico 220 v,10 módulos sunova 505w,2023-08-18
59,"Kit 5,4 kWp - Metálico","R$ 19.253,87",1 inversor ge 5kw - monofásico 220 v,12 módulos dah 450w,2023-08-18
60,"Kit 5,50 kWp - Fibrocimento","R$ 14.847,82",1 inversor solis 5kw - monofásico 220 v,10 módulos sunova 550w,2023-08-18
61,"Kit 5,50 kWp - Metálico","R$ 14.533,97",1 inversor solis 5kw - monofásico 220 v,10 módulos sunova 550w,2023-08-18
62,"Kit 5,55 kWp - Fibrocimento","R$ 15.937,79",1 inversor solis 5kw - monofásico 220 v,11 módulos sunova 505w,2023-08-18
63,"Kit 5,55 kWp - Metálico","R$ 15.585,73",1 inversor solis 5kw - monofásico 220 v,11 módulos sunova 505w,2023-08-18
64,"Kit 6,05 kWp - Fibrocimento","R$ 15.937,79",1 inversor solis 5kw - monofásico 220 v,11 módulos sunova 550w,2023-08-18
65,"Kit 6,05 kWp - Metálico","R$ 15.585,73",1 - inversor solis 5kw - monofásico 220 v,11 - módulos sunova 550w,2023-08-18
66,"Kit 6,06 kWp - Fibrocimento","R$ 17.004,81",1 inversor solis 5kw - monofásico 220 v,12 módulos sunova 505w,2023-08-18
67,"Kit 6,06 kWp - Metálico","R$ 16.629,30",1 inversor solis 5kw - monofásico 220 v,12 módulos sunova 505w,2023-08-18
68,"Kit 6,56 kWp - Fibrocimento","R$ 18.164,62",1 inversor solis 5kw - monofásico 220 v,12 módulos sunova 505w,2023-08-18
69,"Kit 6,56 kWp - Metálico","R$ 17.749,04",1 inversor solis 5kw - monofásico 220 v,12 módulos sunova 505w,2023-08-18
70,"Kit 6,60 kWp - Fibrocimento","R$ 17.004,81",1 inversor solis 5kw - monofásico 220 v,12 módulos sunova 550w,2023-08-18
71,"Kit 6,60 kWp - Metálico","R$ 16.629,30",1 inversor solis 5kw - monofásico 220 v,12 módulos sunova 550w,2023-08-18
72,"Kit 7,07 kWp - Fibrocimento","R$ 19.382,49",1 inversor solis 5kw - monofásico 220 v,14 módulos sunova 505w,2023-08-18
73,"Kit 7,07 kWp - Metálico","R$ 18.943,47",1 inversor solis 5kw - monofásico 220 v,14 módulos sunova 505w,2023-08-18
74,"Kit 7,15 kWp - Fibrocimento","R$ 18.315,48",1 inversor solis 5kw - monofásico 220 v,13 módulos sunova 550w,2023-08-18
75,"Kit 7,15 kWp - Metálico","R$ 17.899,90",1 - inversor solis 5kw - monofásico 220 v,13 - módulos sunova 550w,2023-08-18
76,"Kit 7,57 kWp - Fibrocimento","R$ 21.187,21",1 inversor solis 6kw - monofásico 220 v,15 módulos sunova 505w,2023-08-18
77,"Kit 7,57 kWp - Metálico","R$ 20.709,98",1 inversor solis 6kw - monofásico 220 v,15 módulos sunova 505w,2023-08-18
78,"Kit 7,70 kWp - Fibrocimento","R$ 20.116,77",1 inversor solis 6kw - monofásico 220 v,14 módulos sunova 550w,2023-08-18
79,"Kit 7,70 kWp - Metálico","R$ 19.677,75",1 inversor solis 6kw - monofásico 220 v,14 módulos sunova 550w,2023-08-18
80,"Kit 11,61 kWp - Cerâmico","R$ 32.087,64",1 inversor solis 8kw - monofásico 220 v,23 módulos sunova 505w,2023-08-18
81,"Kit 11,55 kWp - Cerâmico","R$ 29.881,27",1 inversor solis 8kw - monofásico 220 v,21 módulos sunova 550w,2023-08-18
82,"Kit 11,11 kWp - Cerâmico","R$ 30.971,85",1 inversor solis 8kw - monofásico 220 v,22 módulos sunova 505w,2023-08-18
83,Kit 11 kWp - Cerâmico,"R$ 28.664,60",1 inversor solis 8kw - monofásico 220 v,20 módulos sunova 550w,2023-08-18
84,"Kit 10,60 kWp - Cerâmico","R$ 29.881,27",1 inversor solis 8kw - monofásico 220 v,21 módulos sunova 505w,2023-08-18
85,"Kit 10,45 kWp - Cerâmico","R$ 27.574,02",1 inversor solis 8kw - monofásico 220 v,19 módulos sunova 550w,2023-08-18
86,"Kit 10,1 kWp - Cerâmico","R$ 28.664,60",1 inversor solis 8kw - monofásico 220 v,20 módulos sunova 505w,2023-08-18
87,"Kit 9,90 kWp - Metálico","R$ 25.294,42",1 inversor solis 8kw - monofásico 220 v,18 módulos sunova 550w,2023-08-18
